pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.432,0.429,0.014,0.012,42.55,42.25,0.01,0.01,0.41,0.41,1416.67
0.431,0.429,0.014,0.012,42.55,42.25,0.01,0.01,0.41,0.41,1416.09
0.431,0.429,0.014,0.012,42.55,42.24,0.01,0.01,0.41,0.41,1416.09
0.432,0.429,0.014,0.012,42.53,42.26,0.01,0.01,0.41,0.41,1411.46
0.431,0.428,0.014,0.012,42.58,42.25,0.01,0.01,0.41,0.41,1403.94
0.431,0.43,0.014,0.012,42.56,42.25,0.01,0.01,0.41,0.41,1392.36
0.432,0.429,0.014,0.012,42.55,42.25,0.01,0.01,0.41,0.41,1386.57
0.433,0.43,0.014,0.012,42.67,42.23,0.01,0.01,0.408,0.41,1387.15
0.432,0.429,0.014,0.012,42.48,42.21,0.01,0.01,0.409,0.41,1386
0.432,0.429,0.014,0.012,42.57,42.25,0.01,0.01,0.412,0.41,1385.42
0.432,0.429,0.014,0.012,42.6,42.23,0.01,0.01,0.41,0.41,1389.47
0.432,0.43,0.014,0.012,42.55,42.25,0.01,0.01,0.411,0.41,1395.25
0.432,0.429,0.014,0.012,42.55,42.26,0.01,0.01,0.41,0.41,1402.2
0.431,0.43,0.014,0.012,42.6,42.29,0.01,0.01,0.41,0.41,1412.62
0.432,0.43,0.014,0.012,42.59,42.25,0.01,0.01,0.41,0.41,1421.3
0.432,0.429,0.014,0.012,42.59,42.24,0.01,0.01,0.41,0.41,1428.82
0.43,0.43,0.014,0.012,42.56,42.24,0.01,0.01,0.41,0.41,1432.29
0.431,0.428,0.014,0.012,42.57,42.25,0.01,0.01,0.41,0.41,1431.71
0.431,0.429,0.014,0.012,42.59,42.25,0.01,0.01,0.41,0.41,1431.71
0.431,0.428,0.014,0.012,42.57,42.25,0.01,0.01,0.41,0.41,1429.4
0.431,0.429,0.014,0.012,42.5,42.23,0.01,0.01,0.411,0.41,1440.97
0.431,0.429,0.014,0.012,42.59,42.23,0.01,0.01,0.41,0.41,1445.6
0.431,0.43,0.014,0.012,42.5,42.25,0.01,0.01,0.41,0.41,1446.18
0.431,0.43,0.014,0.012,42.58,42.27,0.01,0.01,0.41,0.41,1447.34
0.432,0.43,0.014,0.012,42.58,42.25,0.01,0.01,0.41,0.41,1447.92
0.431,0.428,0.014,0.012,42.61,42.25,0.01,0.01,0.409,0.41,1445.6
0.431,0.429,0.014,0.012,42.56,42.25,0.01,0.01,0.41,0.41,1445.6
0.432,0.43,0.014,0.012,42.56,42.23,0.01,0.01,0.41,0.41,1441.55
0.431,0.43,0.014,0.012,42.59,42.25,0.01,0.01,0.41,0.41,1438.08
0.431,0.429,0.014,0.012,42.61,42.29,0.01,0.01,0.41,0.41,1439.24
0.431,0.428,0.014,0.012,42.5,42.25,0.01,0.01,0.409,0.41,1438.08
0.432,0.429,0.014,0.012,42.56,42.25,0.01,0.01,0.41,0.41,1431.71
0.431,0.43,0.014,0.012,42.52,42.25,0.01,0.01,0.41,0.41,1427.66
0.432,0.43,0.014,0.012,42.51,42.26,0.01,0.01,0.411,0.41,1427.08
0.432,0.43,0.014,0.012,42.53,42.24,0.01,0.01,0.41,0.41,1427.08
0.433,0.43,0.014,0.012,42.55,42.24,0.01,0.01,0.41,0.41,1429.98
0.432,0.43,0.014,0.012,42.56,42.25,0.01,0.01,0.409,0.41,1437.5
0.431,0.429,0.014,0.012,42.59,42.25,0.01,0.01,0.41,0.41,1444.44
0.432,0.43,0.014,0.012,42.52,42.25,0.01,0.01,0.41,0.41,1445.02
0.431,0.428,0.014,0.012,42.52,42.25,0.01,0.01,0.41,0.41,1435.76
0.432,0.43,0.014,0.012,42.59,42.27,0.01,0.01,0.41,0.41,1424.77
0.432,0.428,0.014,0.012,42.58,42.25,0.01,0.01,0.41,0.41,1419.56
0.431,0.429,0.014,0.012,42.53,42.25,0.01,0.01,0.41,0.41,1419.56
0.432,0.43,0.014,0.012,42.58,42.26,0.01,0.01,0.41,0.41,1415.51
0.431,0.429,0.014,0.012,42.55,42.27,0.01,0.01,0.41,0.41,1420.14
0.431,0.431,0.014,0.012,42.58,42.25,0.01,0.01,0.41,0.41,1426.5
0.432,0.43,0.014,0.012,42.47,42.26,0.01,0.01,0.411,0.41,1432.87
0.432,0.429,0.014,0.012,42.51,42.27,0.01,0.01,0.41,0.41,1436.92
0.432,0.429,0.014,0.012,42.58,42.25,0.01,0.01,0.411,0.41,1429.98
0.432,0.43,0.014,0.012,42.56,42.25,0.01,0.01,0.41,0.41,1420.14
0.431,0.43,0.014,0.012,42.61,42.26,0.01,0.01,0.41,0.41,1418.4
0.433,0.429,0.014,0.012,42.55,42.26,0.01,0.01,0.41,0.41,1418.4
0.433,0.429,0.014,0.012,42.69,42.25,0.01,0.01,0.41,0.41,1417.82
0.43,0.428,0.014,0.012,42.59,42.25,0.01,0.01,0.41,0.41,1417.25
0.432,0.429,0.014,0.012,42.53,42.25,0.01,0.01,0.411,0.41,1414.93
0.43,0.428,0.014,0.012,42.6,42.24,0.01,0.01,0.41,0.41,1417.25
0.43,0.428,0.014,0.012,42.59,42.25,0.01,0.01,0.41,0.41,1424.77
0.432,0.429,0.014,0.012,42.57,42.27,0.01,0.01,0.41,0.41,1421.3
0.431,0.429,0.014,0.012,42.54,42.29,0.01,0.01,0.41,0.41,1422.45
0.433,0.43,0.014,0.012,42.56,42.29,0.01,0.01,0.41,0.41,1422.45
0.432,0.429,0.014,0.012,42.59,42.27,0.01,0.01,0.409,0.41,1427.66
0.431,0.429,0.014,0.012,42.54,42.26,0.01,0.01,0.41,0.41,1433.45
0.432,0.429,0.014,0.012,42.53,42.29,0.01,0.01,0.41,0.41,1442.71
0.432,0.429,0.014,0.012,42.54,42.28,0.01,0.01,0.41,0.41,1446.18
0.432,0.429,0.014,0.012,42.6,42.28,0.01,0.01,0.411,0.41,1450.81
0.432,0.429,0.014,0.012,42.53,42.3,0.01,0.01,0.41,0.41,1460.07
0.432,0.429,0.014,0.012,42.54,42.26,0.01,0.01,0.411,0.41,1468.17
0.432,0.429,0.014,0.012,42.59,42.28,0.01,0.01,0.41,0.41,1474.54
0.432,0.429,0.014,0.012,42.63,42.29,0.01,0.01,0.41,0.41,1474.54
0.431,0.429,0.014,0.012,42.59,42.3,0.01,0.01,0.41,0.41,1480.32
0.432,0.429,0.014,0.012,42.6,42.25,0.01,0.01,0.41,0.41,1473.38
0.432,0.428,0.014,0.012,42.59,42.26,0.01,0.01,0.41,0.41,1467.59
0.432,0.429,0.014,0.012,42.55,42.26,0.01,0.01,0.41,0.41,1455.44
0.431,0.43,0.014,0.012,42.59,42.31,0.01,0.01,0.411,0.41,1427.66
0.431,0.429,0.014,0.012,42.59,42.28,0.01,0.01,0.41,0.41,1415.51
0.432,0.429,0.014,0.012,42.59,42.26,0.01,0.01,0.41,0.41,1410.3
0.431,0.429,0.014,0.012,42.66,42.25,0.01,0.01,0.409,0.41,1407.41
0.431,0.43,0.014,0.012,42.55,42.28,0.01,0.01,0.41,0.41,1407.41
0.432,0.43,0.014,0.012,42.66,42.3,0.01,0.01,0.411,0.41,1414.93
0.431,0.429,0.014,0.012,42.59,42.27,0.01,0.01,0.41,0.41,1427.08
